what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233599935809
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233599963643
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233599963645
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233599976359
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233599982553
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233599995753
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233599999815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600001486
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600005463
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600006476
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600007199
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600045216
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600052753
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233600076188
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600076658
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600076808
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600091079
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600091081
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1233600151427
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1233600151696
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600216807
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600241920
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600249938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600251168
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233600252880
